=== Docker Ports Audit ===
IMAGE                                    PORTS                                                                          NAMES
barber-app-barber-app                    3000/tcp                                                                       barber-app
easypanel/motoranews/appfit:latest       3000/tcp                                                                       motoranews_appfit.1.2l9g3axnynfd4vpt602g16fel
easypanel/easypanel:latest               0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                                    easypanel.1.bpr1i12qz2w9n2xqepamlnuoo
postgres:17                              5432/tcp                                                                       dfautomatic_evolution-api-db.1.lh75ti3yq6w2yf5p367icwcq3
evoapicloud/evolution-api:v2.3.7         8080/tcp                                                                       dfautomatic_evolution-api.1.9dbjo67o6zktejm852kydy2xi
redis:7                                  6379/tcp                                                                       dfautomatic_evolution-api-redis.1.hlw8wq290cebi3pf94brk8fwo
n8nio/n8n:2.2.4                          5678/tcp                                                                       dfautomatic_n8n.1.qjdvulpj6kimltxk5swogpd2w
traefik:3.3.7                            0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:443->443/tcp, [::]:443->443/tcp   traefik.1.fk7zpr13zz9s0mvev5y9xiuqf
easypanel/motoranews/motoranews:latest   3000/tcp                                                                       motoranews_motoranews.1.i1jidnkxlqhrmvdhoksfokn3q

